Codebook,,,,
,,,,
,,,,
ZIP,,,,
,,Value,,
Standard Attributes,Label,Zip code,,
N,Valid,42632,,
,Missing,0,,
Central Tendency and Dispersion,Mean,49391.53061,,
,Standard Deviation,28232.71902,,
,Percentile 25,25370,,
,Percentile 50,48607.5,,
,Percentile 75,73076,,
,,,,
RUCA,,,,
,,Value,Count,Percent
Standard Attributes,Label,"RUCA 2.0 of the largest component of zip, agg by city and county to include PO boxes",,
Valid Values,1.0,Metropolitan area core: primary flow within an Urbanized Area (UA),16794,0.393929443
,1.1,Secondary flow 30% through 49% to a larger UA,3160,0.074122725
,2.0,Metropolitan area high commuting: primary flow 30% or more to a UA,4927,0.115570464
,2.1,Secondary flow 30% through 49% to a larger UA,260,0.006098705
,3.0,Metropolitan area low commuting: primary flow 10% to 30% to a UA,571,0.013393695
,4.0,"Micropolitan* area core: primary flow within an Urban Cluster (UC) of 10,000 through 49,999 (large UC)",3165,0.074240008
,4.1,Secondary flow 30% through 49% to a UA,1191,0.027936761
,4.2,Secondary flow 10% through 29% to a UA,155,0.003635767
,5.0,Micropolitan* high commuting: primary flow 30% or more to a large UC,1352,0.031713267
,5.1,Secondary flow 30% through 49% to a UA,217,0.005090073
,5.2,Secondary flow 10% through 29% to a UA,15,0.000351848
,6.0,Micropolitan* low commuting: primary flow 10% to 30% to a large UC,256,0.006004879
,6.1,Secondary flow 10% through 29% to a UA,3,7.03697E-05
,7.0,"Small town core: primary flow within an Urban Cluster of 2,500 through 9,999 (small UC)",2451,0.057492025
,7.1,Secondary flow 30% through 49% to a UA,1266,0.029696003
,7.2,Secondary flow 30% through 49% to a large UC,699,0.016396134
,7.3,Secondary flow 10% through 29% to a UA,60,0.001407394
,7.4,Secondary flow 10% through 29% to a large UC,39,0.000914806
,8.0,Small town high commuting: primary flow 30% or more to a small UC,550,0.012901107
,8.1,Secondary flow 30% through 49% to a UA,113,0.002650591
,8.2,Secondary flow 30% through 49% to a large UC,34,0.000797523
,8.3,Secondary flow 10% through 29% to a UA,4,9.38262E-05
,8.4,Secondary flow 10% through 29% to a large UC,5,0.000117283
,9.0,Small town low commuting: primary flow 10% through 29% to a small UC,211,0.004949334
,9.1,Secondary flow 10% through 29% to a UA,14,0.000328392
,9.2,Secondary flow 10% through 29% to a large UC,5,0.000117283
,10.0,Rural areas: primary flow to a tract outside a UA or UC (including self),1836,0.043066241
,10.1,Secondary flow 30% through 49% to a UA,667,0.015645524
,10.2,Secondary flow 30% through 49% to a large UC,846,0.019844248
,10.3,Secondary flow 30% through 49% to a small UC,780,0.018296116
,10.4,Secondary flow 10% through 29% to a UA,88,0.002064177
,10.5,Secondary flow 10% through 29% to a large UC,57,0.001337024
,10.6,Secondary flow 10% through 29% to a small UC,85,0.001993807
Missing Values,System,,756,0.017733158
,,,,
RUCA4,,,,
,,Value,Count,Percent
